"node","label","Freq"
"20","Akha",3
"23","Akha",0
"27","Akha",3
"29","Akha",1
"32","Akha",1
"35","Akha",40
"38","Akha",0
"54","Akha",1
"60","Akha",65
"66","Akha",0
"67","Akha",2
"70","Akha",7
"71","Akha",3
"72","Akha",0
"20","Burmese",1
"23","Burmese",0
"27","Burmese",8
"29","Burmese",1
"32","Burmese",3
"35","Burmese",1
"38","Burmese",0
"54","Burmese",1
"60","Burmese",2
"66","Burmese",0
"67","Burmese",1
"70","Burmese",0
"71","Burmese",0
"72","Burmese",8
"20","Chinese",1
"23","Chinese",0
"27","Chinese",1
"29","Chinese",0
"32","Chinese",0
"35","Chinese",0
"38","Chinese",0
"54","Chinese",0
"60","Chinese",0
"66","Chinese",0
"67","Chinese",0
"70","Chinese",0
"71","Chinese",4
"72","Chinese",0
"20","ChineseHaw",0
"23","ChineseHaw",0
"27","ChineseHaw",0
"29","ChineseHaw",0
"32","ChineseHaw",0
"35","ChineseHaw",0
"38","ChineseHaw",0
"54","ChineseHaw",0
"60","ChineseHaw",0
"66","ChineseHaw",0
"67","ChineseHaw",0
"70","ChineseHaw",0
"71","ChineseHaw",4
"72","ChineseHaw",0
"20","Hmong",1
"23","Hmong",10
"27","Hmong",0
"29","Hmong",0
"32","Hmong",0
"35","Hmong",0
"38","Hmong",0
"54","Hmong",0
"60","Hmong",0
"66","Hmong",0
"67","Hmong",0
"70","Hmong",1
"71","Hmong",0
"72","Hmong",0
"20","Khmu",2
"23","Khmu",0
"27","Khmu",0
"29","Khmu",0
"32","Khmu",0
"35","Khmu",0
"38","Khmu",7
"54","Khmu",0
"60","Khmu",0
"66","Khmu",0
"67","Khmu",0
"70","Khmu",0
"71","Khmu",0
"72","Khmu",0
"20","Lahu",29
"23","Lahu",0
"27","Lahu",1
"29","Lahu",0
"32","Lahu",1
"35","Lahu",2
"38","Lahu",0
"54","Lahu",2
"60","Lahu",1
"66","Lahu",17
"67","Lahu",8
"70","Lahu",1
"71","Lahu",2
"72","Lahu",0
"20","Lao",0
"23","Lao",0
"27","Lao",1
"29","Lao",1
"32","Lao",0
"35","Lao",0
"38","Lao",8
"54","Lao",0
"60","Lao",0
"66","Lao",0
"67","Lao",0
"70","Lao",0
"71","Lao",0
"72","Lao",0
"20","Lisu",0
"23","Lisu",0
"27","Lisu",0
"29","Lisu",0
"32","Lisu",0
"35","Lisu",1
"38","Lisu",0
"54","Lisu",0
"60","Lisu",0
"66","Lisu",0
"67","Lisu",3
"70","Lisu",0
"71","Lisu",2
"72","Lisu",0
"20","TaiLue",0
"23","TaiLue",0
"27","TaiLue",15
"29","TaiLue",1
"32","TaiLue",0
"35","TaiLue",0
"38","TaiLue",0
"54","TaiLue",4
"60","TaiLue",0
"66","TaiLue",0
"67","TaiLue",0
"70","TaiLue",0
"71","TaiLue",0
"72","TaiLue",1
"20","TaiLue_TaiYai",0
"23","TaiLue_TaiYai",0
"27","TaiLue_TaiYai",10
"29","TaiLue_TaiYai",0
"32","TaiLue_TaiYai",3
"35","TaiLue_TaiYai",1
"38","TaiLue_TaiYai",0
"54","TaiLue_TaiYai",2
"60","TaiLue_TaiYai",0
"66","TaiLue_TaiYai",0
"67","TaiLue_TaiYai",0
"70","TaiLue_TaiYai",0
"71","TaiLue_TaiYai",0
"72","TaiLue_TaiYai",0
"20","Thai",3
"23","Thai",1
"27","Thai",625
"29","Thai",104
"32","Thai",113
"35","Thai",2
"38","Thai",6
"54","Thai",1
"60","Thai",8
"66","Thai",0
"67","Thai",2
"70","Thai",1
"71","Thai",8
"72","Thai",2
"20","Yao",0
"23","Yao",0
"27","Yao",1
"29","Yao",0
"32","Yao",3
"35","Yao",0
"38","Yao",0
"54","Yao",0
"60","Yao",0
"66","Yao",0
"67","Yao",0
"70","Yao",1
"71","Yao",3
"72","Yao",0
"20","missing",2
"23","missing",0
"27","missing",0
"29","missing",0
"32","missing",2
"35","missing",0
"38","missing",1
"54","missing",1
"60","missing",2
"66","missing",0
"67","missing",0
"70","missing",1
"71","missing",1
"72","missing",2
